Job Title,Department,Team,Employment Type,Location,Workplace Type,Published Date,Salary Min,Salary Max,Job URL,Salary Midpoint
"Technical Threat Investigator, Threat Intel Engineering",Security,Security,FullTime,San Francisco,Remote,2026-04-30 21:06:49.961000+00:00,347000.0,510000.0,https://jobs.ashbyhq.com/openai/f01b7084-a68d-4e30-ace9-6b5e6d90c517,428500.0
"Software Engineer, Fleet Management",Scaling,Fleet Clusters,FullTime,San Francisco,Not Specified,2025-11-19 17:25:04.724000+00:00,230000.0,490000.0,https://jobs.ashbyhq.com/openai/7809102e-e82a-4678-bf7c-221de8acc0d6,360000.0
"Software Engineer, Fleet Infrastructure",Scaling,Fleet Clusters,FullTime,San Francisco,Not Specified,2025-02-13 19:21:22.786000+00:00,230000.0,490000.0,https://jobs.ashbyhq.com/openai/a58add97-1968-4d5c-b504-ab62bea12df3,360000.0
"Software Engineer, Full Stack (People Innovation)",People,People Innovation Labs,FullTime,US - Remote,Hybrid,2025-07-22 20:47:54.607000+00:00,153000.0,385000.0,https://jobs.ashbyhq.com/openai/d4780eac-03ad-4dae-861f-99af22b4287e,269000.0
"Software Engineer, Agent Infrastructure",Scaling,Compute,FullTime,San Francisco,Not Specified,2025-05-30 04:42:58.387000+00:00,230000.0,385000.0,https://jobs.ashbyhq.com/openai/c1316397-25bb-4add-9e9d-0e3ea8ba929a,307500.0
"Researcher, Training",Research,Training,FullTime,San Francisco,Not Specified,2025-05-14 21:43:27.150000+00:00,300000.0,600000.0,https://jobs.ashbyhq.com/openai/97d3670c-e75a-4bb2-a235-171765f5f10e,450000.0
Industry Product Marketing Manager,Marketing,Marketing,FullTime,San Francisco,Not Specified,2026-05-27 15:08:27.730000+00:00,221000.0,245000.0,https://jobs.ashbyhq.com/openai/0e078d07-fb0b-4893-b90a-f50e413f3e13,233000.0
"Researcher, Alignment",Research,Alignment,FullTime,San Francisco,Not Specified,2024-08-27 16:33:01.117000+00:00,295000.0,500000.0,https://jobs.ashbyhq.com/openai/941bad28-7abe-43c7-b20a-2bc7e5b3c6e8,397500.0
"Technical Program Manager, Partnerships",Technical Program Management,Technical Program Management,FullTime,San Francisco,Not Specified,2026-09-01 14:39:33.243000+00:00,207000.0,230000.0,https://jobs.ashbyhq.com/openai/e25e56a3-88f0-4994-9ae7-3d6d85c1501b,218500.0
"Full-Stack SWE, Data Acquisition (Foundations)",Research,Foundations,FullTime,San Francisco,Not Specified,2025-02-12 21:45:10.436000+00:00,295000.0,536000.0,https://jobs.ashbyhq.com/openai/a886ff48-b8a1-4e28-b468-296713a5ad78,415500.0
"Software Engineer, Frontier Systems - Power Management",Scaling,Frontiers Clusters,FullTime,San Francisco,Not Specified,2024-10-31 21:48:04.780000+00:00,295000.0,445000.0,https://jobs.ashbyhq.com/openai/633d5574-92e4-4327-9783-7ea831223dea,370000.0
"Software Engineer, Compute Foundations Systems",Scaling,Supercomputing,FullTime,San Francisco,Not Specified,2026-07-21 16:47:15.711000+00:00,230000.0,490000.0,https://jobs.ashbyhq.com/openai/770d5c3f-4e72-4b49-aec4-d444e8ad7a64,360000.0
Research Program Manager ,Research,Research Program Management,FullTime,San Francisco,Not Specified,2026-08-31 20:05:18.238000+00:00,239000.0,328000.0,https://jobs.ashbyhq.com/openai/c7c5ef17-af83-483c-a825-f461f9f63b17,283500.0
Senior Support Engineer - Dublin,User Operations,Support Delivery,FullTime,"Dublin, Ireland",Not Specified,2025-01-22 02:54:09.842000+00:00,,,https://jobs.ashbyhq.com/openai/988016e1-de50-42be-925a-438b97291c5d,
"Software Engineer, Model Inference",Scaling,Inference,FullTime,San Francisco,Not Specified,2025-02-06 17:40:57.429000+00:00,266000.0,500000.0,https://jobs.ashbyhq.com/openai/83b6755d-7785-4186-9050-5ef3ad127941,383000.0
Research Engineer / Research Scientist- Personal AGI (Post Training),Research,Post-training,FullTime,San Francisco,Not Specified,2025-12-01 20:32:36.232000+00:00,380000.0,500000.0,https://jobs.ashbyhq.com/openai/1c516e9f-c97d-4a40-8529-9871dac615a5,440000.0
"Software Engineer, Compute - Storage",Scaling,Compute,FullTime,San Francisco,Hybrid,2024-12-10 18:27:47.910000+00:00,230000.0,385000.0,https://jobs.ashbyhq.com/openai/7649205e-20dc-4bb4-9358-69474a851132,307500.0
IT Controls Data Engineer,IT,IT,FullTime,San Francisco,Hybrid,2026-05-29 22:08:23.853000+00:00,293000.0,325000.0,https://jobs.ashbyhq.com/openai/5bc79fde-2f1d-4bb2-8186-4a700ecff37c,309000.0
"Data Center Design Engineer, Electrical - Industrial Compute",Scaling,Scaling,FullTime,San Francisco,Hybrid,2026-07-09 11:06:20.571000+00:00,257000.0,327000.0,https://jobs.ashbyhq.com/openai/ce1a4c96-6eed-4167-a5c8-8e692cdc4c2e,292000.0
Applied AI Architect,Go To Market,Technical Success,FullTime,San Francisco,Not Specified,2025-08-18 21:58:25.863000+00:00,156600.0,276000.0,https://jobs.ashbyhq.com/openai/98a36c10-3497-4955-9cc0-a6f211e4dc1b,216300.0
Forward Deployed Software Engineer - SF,Forward Deployed Engineering,Forward Deployed Engineering,FullTime,San Francisco,Hybrid,2025-11-15 01:25:39.198000+00:00,185000.0,325000.0,https://jobs.ashbyhq.com/openai/00207abc-49b7-465c-a219-f7c1140f8047,255000.0
"Software Engineer, Resilience Engineering",Applied AI,Applied AI Infrastructure,FullTime,San Francisco,Not Specified,2025-10-17 19:57:46.161000+00:00,230000.0,490000.0,https://jobs.ashbyhq.com/openai/1faee5e7-3b2f-4d8c-9a6f-ff0f2a4a42a7,360000.0
"Machine Learning Engineer, Integrity",Applied AI,Applied AI Engineering,FullTime,San Francisco,Not Specified,2026-03-17 06:00:27.611000+00:00,287000.0,555000.0,https://jobs.ashbyhq.com/openai/ecf1abec-898c-4acb-a984-42858836a1ff,421000.0
"Research Program Manager, Data Acquisition",Research,Research Program Management,FullTime,San Francisco,Not Specified,2026-06-05 19:09:39.017000+00:00,239000.0,328000.0,https://jobs.ashbyhq.com/openai/71004494-9a55-4ed5-b458-2ff475f0d881,283500.0
"Full Stack Software Engineer, Gov",Applied AI,Applied AI,FullTime,"Washington, DC",Hybrid,2025-10-17 16:59:57.134000+00:00,207000.0,385000.0,https://jobs.ashbyhq.com/openai/a90cdb7c-1c33-4fca-9a96-26c236006f14,296000.0
"Software Engineer, Hardware Health",Scaling,Frontiers Clusters,FullTime,San Francisco,Not Specified,2026-05-11 21:03:23.567000+00:00,250000.0,445000.0,https://jobs.ashbyhq.com/openai/d7efc55b-2fde-4d3f-ae34-2e467f02a57c,347500.0
Senior Support Engineer - San Francisco,User Operations,Support Delivery,FullTime,San Francisco,Not Specified,2026-02-19 20:06:01.565000+00:00,234000.0,260000.0,https://jobs.ashbyhq.com/openai/5431666c-530b-49c0-b67e-32477f9eaf5e,247000.0
"Researcher, Safety Oversight",Safety Systems,Safety Systems,FullTime,San Francisco,Not Specified,2025-01-28 16:12:01.888000+00:00,380000.0,500000.0,https://jobs.ashbyhq.com/openai/9b11373c-1643-4ea6-bbcd-033d5b8a0d3e,440000.0
"Data Scientist, Product",Data Science,Data Science,FullTime,San Francisco,Not Specified,2025-01-24 00:25:48.952000+00:00,230000.0,385000.0,https://jobs.ashbyhq.com/openai/579e2994-ec43-4869-8ad1-8cda8088f74b,307500.0
Applied AI Engineer - Tokyo,Go To Market,Technical Success,FullTime,"Tokyo, Japan",Hybrid,2026-03-25 08:05:23.843000+00:00,,,https://jobs.ashbyhq.com/openai/4762783e-61e1-4d36-af1d-8dee3c5f70e2,
"Full Stack Engineer, Fleet Scheduling",Scaling,Fleet Clusters,FullTime,San Francisco,Not Specified,2025-02-06 00:14:08.985000+00:00,230000.0,490000.0,https://jobs.ashbyhq.com/openai/9d11e1d8-af1d-413b-873f-d8fac2bdee99,360000.0
"Security Engineer, Application Security",Security,Security,FullTime,Seattle,Not Specified,2025-02-27 16:49:05.509000+00:00,266000.0,445000.0,https://jobs.ashbyhq.com/openai/1e110226-448a-4c0b-b0e4-d0f5df579fbf,355500.0
IT Support Specialist,IT,IT,FullTime,Seattle,OnSite,2025-06-26 14:32:00.452000+00:00,60.58,108.17,https://jobs.ashbyhq.com/openai/49ae54dc-3d33-4107-8112-63fac1ee86ca,84.375
"Security Engineer, Application Security",Security,Security,FullTime,New York City,Hybrid,2025-02-27 16:49:09.736000+00:00,266000.0,445000.0,https://jobs.ashbyhq.com/openai/ec5a5d98-6314-44d9-9466-8d4d7ee866f6,355500.0
"Technical Program Manager, Custom Silicon Development",Technical Program Management,Technical Program Management,FullTime,San Francisco,Hybrid,2026-07-10 16:57:20.365000+00:00,302000.0,445000.0,https://jobs.ashbyhq.com/openai/004ae8f4-245b-4aad-8903-9daabdb58bb9,373500.0
Forward Deployed Engineer - Tokyo,Forward Deployed Engineering,Forward Deployed Engineering,FullTime,"Tokyo, Japan",Hybrid,2025-09-16 03:55:31.798000+00:00,,,https://jobs.ashbyhq.com/openai/51b17595-3a70-43be-a333-3a3952303284,
"Software Engineer, Backend (Cooperative AI)",User Operations,Support Automation,FullTime,San Francisco,Not Specified,2026-02-12 21:09:00.972000+00:00,266000.0,455000.0,https://jobs.ashbyhq.com/openai/bd190cad-99ec-4fe7-8f8f-de96b5aa5969,360500.0
"Software Engineer, AI Safety",Safety Systems,Safety Systems,FullTime,San Francisco,Hybrid,2025-03-17 16:10:28.608000+00:00,207000.0,385000.0,https://jobs.ashbyhq.com/openai/b9dee2a0-9bb3-447e-9bce-2b1bed784e5b,296000.0
"Software Engineer, Privacy Engineering",Security,Security,FullTime,San Francisco,Hybrid,2026-07-15 14:28:42.801000+00:00,230000.0,325000.0,https://jobs.ashbyhq.com/openai/07153f7c-7e8b-4283-a879-cb07a224e083,277500.0
Child Safety Enforcement Specialist,Intelligence & Investigations,Intelligence & Investigations,FullTime,San Francisco,Hybrid,2026-09-08 22:52:28.028000+00:00,158400.0,220000.0,https://jobs.ashbyhq.com/openai/2dad7155-8f62-4f0b-8368-0be331187367,189200.0
"Applied AI Engineer, Startups",Go To Market,Technical Success,FullTime,San Francisco,Not Specified,2026-06-01 16:42:41.263000+00:00,211000.0,278000.0,https://jobs.ashbyhq.com/openai/71e7252f-abb1-4b74-8e69-318413042357,244500.0
"Software Engineer, Privacy",Security,Security,FullTime,"Dublin, Ireland",Not Specified,2025-04-10 11:03:57.032000+00:00,,,https://jobs.ashbyhq.com/openai/fb5862cc-244c-410b-b287-47df89ad1e43,
"Machine Learning Data Scientist, Forecasting",Data Science,Data Science,FullTime,San Francisco,Hybrid,2026-08-12 17:04:27.481000+00:00,340000.0,500000.0,https://jobs.ashbyhq.com/openai/0b57e309-426d-4f5c-a28c-6dd941b84703,420000.0
"Security Engineer, Detection and Response",Security,Security,FullTime,San Francisco,Not Specified,2026-01-28 23:56:50.471000+00:00,266000.0,385000.0,https://jobs.ashbyhq.com/openai/f956b77c-3cc5-4fdd-9463-2a6e5047e57c,325500.0
"Software Engineer, Habitat (Online Data)",Applied AI,Applied AI Engineering,FullTime,Seattle,Not Specified,2025-04-14 21:41:35.324000+00:00,266000.0,445000.0,https://jobs.ashbyhq.com/openai/460b4295-3803-4dda-983d-3b0fea0b0fc4,355500.0
"Backend Software Engineer, GTM Innovation",Go To Market,GTM Innovation,FullTime,San Francisco,Hybrid,2026-02-04 05:18:21.985000+00:00,347000.0,445000.0,https://jobs.ashbyhq.com/openai/43174eb6-0ffe-4744-9323-c7969e7ea2e1,396000.0
"Inference Engineer, Robotics",Research,Robotics,FullTime,San Francisco,Hybrid,2025-04-21 22:52:02.375000+00:00,380000.0,380000.0,https://jobs.ashbyhq.com/openai/3c2d1178-777f-4613-a084-75a3d37cd1af,380000.0
"Prototyping Lab Technician, Robotics",Research,Robotics,FullTime,San Francisco,OnSite,2026-06-24 05:46:17.604000+00:00,225000.0,295000.0,https://jobs.ashbyhq.com/openai/9ba938cb-f0c3-4e01-a8ea-1019a8175201,260000.0
"Control Systems Software Engineer, Robotics",Research,Robotics,FullTime,San Francisco,Not Specified,2026-09-08 22:02:49.677000+00:00,380000.0,460000.0,https://jobs.ashbyhq.com/openai/60573bf4-13ad-4933-aba7-729f428e9f69,420000.0
"Firmware Engineer, Robotics",Research,Robotics,FullTime,San Francisco,OnSite,2026-06-05 04:56:36.449000+00:00,380000.0,445000.0,https://jobs.ashbyhq.com/openai/3f99bfef-5b1a-48ea-aed0-2dbd57b12722,412500.0
"Software Engineer, Accelerators",Scaling,Kernels,FullTime,San Francisco,Not Specified,2025-06-27 20:50:51.729000+00:00,295000.0,380000.0,https://jobs.ashbyhq.com/openai/f386b209-1259-4b79-bf5a-aa97fc7ce77b,337500.0
Robotics Software Engineer,Research,Robotics,FullTime,San Francisco,OnSite,2026-06-05 05:02:58.415000+00:00,255000.0,325000.0,https://jobs.ashbyhq.com/openai/fabfc6c5-57b5-49ba-aae9-e7dd5d7030ca,290000.0
"RE / RS - Foundations, Search",Research,Foundations,FullTime,San Francisco,Not Specified,2025-06-16 22:35:00.347000+00:00,380000.0,850000.0,https://jobs.ashbyhq.com/openai/020b2aae-8be0-408c-ab49-20eefa8541af,615000.0
"Research Engineer/Research Scientist, RL/Reasoning",Research,Reasoning,FullTime,San Francisco,Not Specified,2025-05-14 23:26:30.369000+00:00,295000.0,445000.0,https://jobs.ashbyhq.com/openai/7e198d81-34e0-48b6-b64e-a501a75f9d53,370000.0
"Engineering Manager, Multimodal (API)",Core Product & Platform,Core Product & Platform | API,FullTime,San Francisco,Not Specified,2026-04-20 16:22:08.024000+00:00,401000.0,445000.0,https://jobs.ashbyhq.com/openai/1d7f4747-54a3-4141-a39a-c6e7700e969b,423000.0
Compute Infrastructure - Critical Facilities Lead,Scaling,Datacenter Design,FullTime,San Francisco,Not Specified,2026-03-27 17:15:53.470000+00:00,159000.0,285000.0,https://jobs.ashbyhq.com/openai/13cdb1b1-8c21-4bff-8201-f7ca904e181d,222000.0
ChatGPT Performance Engineer,Applied AI,Applied AI Engineering,FullTime,San Francisco,Not Specified,2026-04-15 16:18:29.991000+00:00,347000.0,445000.0,https://jobs.ashbyhq.com/openai/38ddaa2c-a490-427a-8457-0e92bf00138c,396000.0
"Software Engineer, Inference - Multi Modal",Scaling,Inference,FullTime,San Francisco,Not Specified,2025-05-21 18:27:41.612000+00:00,295000.0,555000.0,https://jobs.ashbyhq.com/openai/4d14449e-5e7f-45d4-b103-8776a6c87086,425000.0
"Software Engineer, Research - Human Data",Research,Human Data,FullTime,San Francisco,Not Specified,2026-01-23 01:32:42.860000+00:00,295000.0,385000.0,https://jobs.ashbyhq.com/openai/4d6a5951-9838-434c-830a-22cb938ea228,340000.0
"Applied AI Engineer, Cyber, Government",OpenAI for Gov,OpenAI for Gov,FullTime,"Washington, DC",Hybrid,2026-09-01 21:15:47.771000+00:00,211000.0,302000.0,https://jobs.ashbyhq.com/openai/be7b1bf5-37ab-40f7-9ec1-e9732244f12a,256500.0
"Manager, Global Equity Administration",Finance,Finance,FullTime,San Francisco,Hybrid,2026-08-07 00:00:49.405000+00:00,162000.0,180000.0,https://jobs.ashbyhq.com/openai/498e0afe-376b-470f-b8c8-9a56a46effa8,171000.0
"Software Engineer, GPU Infrastructure - HPC",Scaling,Fleet Clusters,FullTime,San Francisco,Not Specified,2026-02-05 19:14:42.993000+00:00,230000.0,490000.0,https://jobs.ashbyhq.com/openai/f58cb1eb-9642-4a4d-a14d-d7a57d583a11,360000.0
"Software Engineer, Integrity Foundations - London",Applied AI,Applied AI Engineering,FullTime,"London, UK",Not Specified,2026-08-31 22:30:25.325000+00:00,266000.0,445000.0,https://jobs.ashbyhq.com/openai/46703db4-6023-4ac6-93a8-22dc95009945,355500.0
"Account Director, Mid-Market Enterprise",Go To Market,Sales,FullTime,San Francisco,Not Specified,2026-07-29 03:16:10.961000+00:00,189000.0,220500.0,https://jobs.ashbyhq.com/openai/da4a6959-0a9a-4090-ae12-e06e45fe2f28,204750.0
AI Support Engineer - San Francisco,User Operations,Support Delivery,FullTime,San Francisco,Not Specified,2026-02-24 01:27:53.966000+00:00,180000.0,260000.0,https://jobs.ashbyhq.com/openai/1a979fd4-1bce-484e-a416-aed2810677a6,220000.0
Product Manufacturing Engineer,Scaling,Scaling,FullTime,Singapore,Hybrid,2026-02-19 23:46:48.031000+00:00,,,https://jobs.ashbyhq.com/openai/cb9280db-df39-4c88-b411-5fdf149a6e52,
"Researcher, Interpretability",Safety Systems,Safety Systems,FullTime,San Francisco,Hybrid,2025-06-15 20:14:27.535000+00:00,380000.0,500000.0,https://jobs.ashbyhq.com/openai/c44268f1-717b-4da3-9943-2557f7d739f0,440000.0
"Strategy & Operations Programs, Support",User Operations,Support Operations,FullTime,San Francisco,Not Specified,2026-06-10 17:26:21.008000+00:00,216000.0,240000.0,https://jobs.ashbyhq.com/openai/9747412d-a23d-48ba-bddd-ad1247c360f5,228000.0
"Analytics Engineer, GTM",Data Science,Data Science,FullTime,San Francisco,Hybrid,2026-08-26 18:47:47.520000+00:00,220000.0,335000.0,https://jobs.ashbyhq.com/openai/bc0d4a9f-235f-4a4b-a854-c6cb0322ccaa,277500.0
"Software Engineer, Fleet Hardware Health",Scaling,Fleet Clusters,FullTime,San Francisco,Not Specified,2025-07-15 16:35:42.130000+00:00,230000.0,490000.0,https://jobs.ashbyhq.com/openai/57551641-208c-48d9-bfb8-9a298d7e7510,360000.0
"Security Engineer, Agent Security",Security,Security,FullTime,San Francisco,Not Specified,2025-07-15 21:39:11.641000+00:00,266000.0,445000.0,https://jobs.ashbyhq.com/openai/e9bea775-7eb6-438a-ab96-27d5f941e69d,355500.0
Data Center Infrastructure Electrical Engineer,Scaling,Datacenter Design,FullTime,San Francisco,Hybrid,2026-04-19 21:31:20.428000+00:00,257000.0,327000.0,https://jobs.ashbyhq.com/openai/e602cd50-002d-4ace-bb30-19db0afcf635,292000.0
"Software Engineer, Database Systems",Applied AI,Applied AI Infrastructure,FullTime,San Francisco,Not Specified,2025-07-29 15:35:56.790000+00:00,266000.0,445000.0,https://jobs.ashbyhq.com/openai/2b5e8e15-7952-4170-a927-2ad68e318ed6,355500.0
"Software Engineer, Core Services",Applied AI,Applied AI Infrastructure,FullTime,San Francisco,Not Specified,2025-07-18 18:04:13.589000+00:00,230000.0,385000.0,https://jobs.ashbyhq.com/openai/21bfde35-ffec-42d2-a2c6-8a03dad789d5,307500.0
"Software Engineer, Caching Infrastructure",Applied AI,Applied AI Infrastructure,FullTime,San Francisco,Not Specified,2025-07-18 18:05:35.342000+00:00,230000.0,385000.0,https://jobs.ashbyhq.com/openai/a20b7fc6-6f01-4618-ba35-37b40083f93e,307500.0
"Data Scientist, Infrastructure",Data Science,Data Science,FullTime,San Francisco,Not Specified,2025-07-22 02:22:58.048000+00:00,230000.0,385000.0,https://jobs.ashbyhq.com/openai/e71cf565-4b21-4b0d-bf45-b22e58ca95eb,307500.0
"RE/RS, Data Understanding (MM)",Research,Foundations,FullTime,San Francisco,Hybrid,2026-05-29 16:16:18.047000+00:00,380000.0,500000.0,https://jobs.ashbyhq.com/openai/d5331989-2a73-446c-be86-ca5379f27563,440000.0
"Software Engineer, Cloud Infrastructure ",Applied AI,Applied AI Infrastructure,FullTime,San Francisco,Not Specified,2025-08-04 16:58:03.020000+00:00,230000.0,490000.0,https://jobs.ashbyhq.com/openai/12342ebb-dcd4-45e2-b875-fc5447fdb7d8,360000.0
IT Solutions Engineer,IT,IT,FullTime,San Francisco,Hybrid,2026-03-06 01:23:02.602000+00:00,187000.0,266000.0,https://jobs.ashbyhq.com/openai/6c6c1ace-12d6-48f0-88f0-488ff8521571,226500.0
"Research Engineer, Privacy",Security,Security,FullTime,San Francisco,Hybrid,2026-07-14 18:44:03.082000+00:00,0.0,500000.0,https://jobs.ashbyhq.com/openai/cc434f5b-dc0b-42fd-97ec-e0171545c6e9,250000.0
"Research Engineer, Codex",Research,Research,FullTime,San Francisco,Not Specified,2025-08-05 21:13:58.858000+00:00,380000.0,500000.0,https://jobs.ashbyhq.com/openai/793964ae-d40b-45e3-9798-84f4b6da48c5,440000.0
User Safety & Risk Operations Analyst - Global Response (Weekend Shift),User Operations,Trust & Safety,FullTime,Singapore,Hybrid,2026-08-11 21:43:51.599000+00:00,,,https://jobs.ashbyhq.com/openai/af508ed6-e657-44df-beb8-3c31ae73492b,
"Full Stack Engineer, Intelligence Systems",Intelligence & Investigations,Intelligence & Investigations,FullTime,San Francisco,Not Specified,2025-11-12 20:52:20.549000+00:00,266000.0,385000.0,https://jobs.ashbyhq.com/openai/52c72cb9-7c44-4cba-b440-e05262a38491,325500.0
Partner Applied AI Engineer ,Go To Market,Technical Success,FullTime,San Francisco,Hybrid,2026-09-10 19:44:56.038000+00:00,197000.0,278000.0,https://jobs.ashbyhq.com/openai/552396f4-dc83-43de-9230-6301e5f461bd,237500.0
"Software Engineer, Quality & Developer Tools | Consumer Devices",Consumer Devices,Software,FullTime,San Francisco,Not Specified,2026-05-21 19:03:36.475000+00:00,207000.0,365000.0,https://jobs.ashbyhq.com/openai/1ba666a4-0be2-4bd0-ad51-39ed7164c241,286000.0
"Strategic Sourcing Manager, Data Center Infrastructure, Mechanical",Scaling,Datacenter Design,FullTime,San Francisco,Not Specified,2026-08-09 00:03:27.241000+00:00,226000.0,285000.0,https://jobs.ashbyhq.com/openai/61171d99-747f-441e-985d-20c010112ad8,255500.0
"Strategic Sourcing Manager, Data Center Infrastructure, Electrical",Scaling,Datacenter Design,FullTime,San Francisco,Not Specified,2026-08-13 00:41:21.351000+00:00,226000.0,285000.0,https://jobs.ashbyhq.com/openai/fe753283-d232-4470-8e20-fbeb217ea9e2,255500.0
"Account Director, Digital Natives",Go To Market,Sales,FullTime,"Delhi, India",Hybrid,2026-09-10 06:21:47.936000+00:00,,,https://jobs.ashbyhq.com/openai/d085d2ec-0256-4ecf-b493-81ea34942e51,
"Electrical Engineer, Robotics",Research,Robotics,FullTime,San Francisco,Not Specified,2026-05-28 02:52:31.757000+00:00,287000.0,423000.0,https://jobs.ashbyhq.com/openai/8eaa92fb-b908-4624-9b34-1ec7b5aa03d6,355000.0
